City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arno,60.1167,18.6333,0.99,68,100,4.42,SE,1700092196
83,tiksi,71.6872,128.8694,-13.62,82,100,9.38,RU,1700092197
84,el calafate,-50.3408,-72.2768,6.05,58,74,2.58,AR,1700092197
85,papatowai,-46.5619,169.4708,15.85,45,58,2.3,NZ,1700092198
86,saipan,15.1355,145.701,29.39,79,20,7.72,MP,1700092198
87,tralee,52.2704,-9.7026,7.54,93,97,2.08,IE,1700092199
88,talcahuano,-36.7167,-73.1167,12.82,62,20,6.17,CL,1700092200
89,west island,-12.1568,96.8225,24.99,73,75,5.14,CC,1700092200
90,thompson,55.7435,-97.8558,-1.91,93,75,1.03,CA,1700092201
91,lospalos,-8.5186,127.0025,30.19,45,4,0.45,TL,1700092202
92,midleton,51.9153,-8.1805,9.51,84,100,4.01,IE,1700092203
93,chokwe,-24.5333,32.9833,17.64,71,4,2.02,MZ,1700092203
94,suva,-18.1416,178.4415,31.71,62,40,2.57,FJ,1700092204
95,peshawar,34.008,71.5785,13.08,47,20,0.0,PK,1700092196
96,oriximina,-1.7656,-55.8661,29.74,48,46,0.74,BR,1700091940
97,shibetsu,43.659,145.132,6.39,75,0,1.54,JP,1700092206
98,weno,7.4515,151.8468,28.97,84,100,3.09,FM,1700092207
99,stanley,54.868,-1.6985,5.85,96,40,0.0,GB,1700092207
100,hawaiian paradise park,19.5933,-154.9731,26.73,78,75,6.69,US,1700092092
101,margaret river,-33.95,115.0667,15.32,58,0,5.9,AU,1700092208
102,laguna,38.421,-121.4238,18.05,64,100,3.6,US,1700092209
103,praia da vitoria,38.7333,-27.0667,21.14,88,40,4.93,PT,1700092210
104,antofagasta,-23.65,-70.4,16.6,80,93,2.99,CL,1700092210
105,tugulym,57.0591,64.6425,1.04,86,100,3.35,RU,1700092211
106,aqaba,29.5267,35.0078,19.92,56,0,3.09,JO,1700092211
107,kapuskasing,49.4169,-82.4331,4.05,52,20,2.57,CA,1700092212
108,minas de marcona,-15.2119,-75.1103,15.69,81,86,6.28,PE,1700092212
109,ar ruways,24.1103,52.7306,27.36,63,100,3.16,AE,1700092213
110,dauphin,51.1494,-100.0502,3.08,60,0,6.69,CA,1700092214
111,olonkinbyen,70.9221,-8.7187,-0.87,90,100,5.93,SJ,1700092214
112,klaksvik,62.2266,-6.589,4.51,67,98,5.29,FO,1700092215
113,santa cruz,-17.8,-63.1667,32.7,51,11,8.75,BO,1700092215
114,gobabis,-22.45,18.9667,20.69,60,100,3.08,NA,1700092216
115,holdrege,40.4403,-99.3698,15.6,58,0,4.12,US,1700092217
116,chardara,41.2547,67.9692,14.16,31,30,6.69,KZ,1700092217
117,kodiak,57.79,-152.4072,7.73,53,0,7.2,US,1700092218
118,vilyuchinsk,52.9306,158.4028,-8.85,73,2,3.96,RU,1700092218
119,klyuchi,52.2667,79.1667,3.27,60,79,7.66,RU,1700092219
120,port saint john's,-31.6229,29.5448,18.54,90,5,6.52,ZA,1700092220
121,cole harbour,44.6724,-63.4751,0.66,86,47,0.51,CA,1700092037
122,malindi,-3.2175,40.1191,25.27,88,65,4.81,KE,1700092221
123,chagoda,59.164,35.3285,-1.57,85,100,1.81,RU,1700092221
124,nuku'alofa,-21.1333,-175.2,26.19,94,100,7.72,TO,1700092222
125,poltavka,54.3663,71.7632,3.86,82,100,2.9,RU,1700092222
126,slave lake,55.2834,-114.769,-0.01,74,100,3.09,CA,1700092223
127,al kharijah,25.4514,30.5464,17.93,52,0,3.28,EG,1700092224
128,usinsk,65.9939,57.5281,-14.96,99,99,2.68,RU,1700092225
129,umarga,17.8333,76.6167,19.4,69,18,3.97,IN,1700092225
130,al ghayzah,16.2079,52.176,26.12,75,70,3.51,YE,1700092226
131,twon-brass,4.3151,6.2418,25.46,85,100,2.71,NG,1700092227
132,kone,-21.0595,164.8658,29.1,39,0,1.04,NC,1700092227
133,badger,64.8,-147.5333,-2.23,88,75,2.57,US,1700092228
134,the pas,53.8251,-101.2541,1.01,64,20,6.69,CA,1700092228
135,egilsstadir,65.2653,-14.3948,-1.05,93,75,3.09,IS,1700092229
136,turpan,42.9333,89.1667,2.97,52,3,0.31,CN,1700092229
137,alice springs,-23.7,133.8833,28.75,34,95,3.6,AU,1700092034
138,zaozersk,69.4005,32.4476,-6.92,92,90,2.95,RU,1700092231
139,geraldton,-28.7667,114.6,23.23,53,0,7.72,AU,1700092231
140,karratha,-20.7377,116.8463,25.91,46,0,5.01,AU,1700092232
141,sitka,57.0531,-135.33,6.94,65,100,5.66,US,1700092232
142,hailar,49.2,119.7,-11.53,95,100,5.15,CN,1700092233
143,thunder bay,48.4001,-89.3168,7.99,45,20,3.6,CA,1700092127
144,kharp,66.8014,65.8081,-12.83,88,78,4.4,RU,1700092234
145,razole,16.4833,81.8333,22.58,84,71,1.75,IN,1700092234
146,vilyuysk,63.7553,121.6247,-16.11,93,76,4.02,RU,1700092235
147,labrador city,52.9463,-66.9114,-5.05,86,100,5.14,CA,1700092235
148,viedma,-40.8135,-62.9967,13.83,47,55,7.77,AR,1700092236
149,crane,31.3974,-102.3501,18.38,56,13,3.34,US,1700092236
150,yellowknife,62.456,-114.3525,-12.71,96,75,4.12,CA,1700092237
151,dunedin,-45.8742,170.5036,15.45,68,85,2.24,NZ,1700092237
152,manavalakurichi,8.1333,77.3,25.98,83,79,2.78,IN,1700092238
153,kladno,50.1473,14.1029,6.88,85,0,6.17,CZ,1700092238
154,kourou,5.1552,-52.6478,29.03,90,14,3.83,GF,1700092239
155,st. john's,47.5649,-52.7093,1.1,79,100,7.6,CA,1700092240
156,daru,-9.0763,143.2092,28.59,65,43,4.39,PG,1700092240
157,nar'yan-mar,67.6713,53.087,-13.83,88,60,0.89,RU,1700092241
158,udachny,66.4167,112.4,-9.75,78,100,9.43,RU,1700092241
159,makinsk,52.6292,70.4169,2.75,69,100,5.71,KZ,1700092242
160,tazovsky,67.4667,78.7,-2.78,96,100,5.11,RU,1700092242
161,dudinka,69.4058,86.1778,-6.32,92,100,9.39,RU,1700092243
162,auki,-8.7676,160.7034,28.62,70,70,2.14,SB,1700092243
163,leava,-14.3,-178.1667,28.58,78,76,3.3,WF,1700092244
164,lihue,21.9789,-159.3672,28.58,67,20,8.75,US,1700092244
165,laizhou,37.1717,119.9214,8.03,70,90,5.56,CN,1700092245
166,saint-philippe,-21.3585,55.7679,22.77,87,74,2.81,RE,1700092245
167,talnakh,69.4865,88.3972,-6.55,95,100,4.75,RU,1700092246
168,san agustin de valle fertil,-30.6335,-67.4682,23.97,35,55,2.93,AR,1700092246
169,howrah,22.5892,88.3103,23.0,78,75,2.06,IN,1700092247
170,port alfred,-33.5906,26.891,17.32,91,47,0.45,ZA,1700092247
171,gao,16.6362,1.637,24.51,16,0,5.57,ML,1700092248
172,nha trang,12.25,109.1833,26.0,90,100,3.65,VN,1700092248
173,hermanus,-34.4187,19.2345,18.47,81,100,1.94,ZA,1700092249
174,vikulovo,56.8167,70.6107,2.66,87,100,2.11,RU,1700092250
175,dwarka,22.2394,68.9678,24.96,48,0,5.42,IN,1700092250
176,briviesca,42.5499,-3.3232,14.08,83,99,6.55,ES,1700092251
177,port kembla,-34.4667,150.9,28.48,71,75,2.9,AU,1700092251
178,nova sintra,14.8667,-24.7167,23.49,72,96,6.87,CV,1700092252
179,sao jose da coroa grande,-8.8978,-35.1478,25.52,84,77,4.28,BR,1700092252
180,tughyl,47.7252,84.2063,3.75,52,0,9.21,KZ,1700092253
181,greenville,35.6127,-77.3663,13.09,86,0,0.0,US,1700092094
182,mar del plata,-38.0023,-57.5575,16.01,54,20,6.69,AR,1700092254
183,kadisehri,39.9957,35.7919,8.34,58,69,1.62,TR,1700092254
184,longyearbyen,78.2186,15.6401,-18.09,78,20,6.17,SJ,1700092255
185,yigo village,13.5361,144.8886,29.62,82,75,9.77,GU,1700092255
186,dayr al balah,31.4166,34.3452,21.19,70,0,0.79,PS,1700092256
187,kruisfontein,-34.0033,24.7314,19.74,61,99,9.2,ZA,1700092256
188,isafjordur,66.0755,-23.124,0.52,77,64,1.98,IS,1700092257
189,codrington,-38.2667,141.9667,14.63,64,94,7.04,AU,1700092257
190,antsiranana,-12.2787,49.2917,24.23,86,48,4.44,MG,1700092258
191,iskateley,67.6803,53.1512,-13.88,88,61,0.89,RU,1700092258
192,port mathurin,-19.6833,63.4167,25.37,81,90,6.99,MU,1700092259
193,kuanda,56.3161,116.0806,-20.04,93,60,0.22,RU,1700092260
194,jieshi,22.8134,115.8257,21.16,76,95,4.54,CN,1700092260
195,unai,-16.3575,-46.9061,27.88,42,53,2.24,BR,1700092261
196,skovorodino,53.9833,123.9167,-7.65,91,100,2.16,RU,1700092262
197,mount gambier,-37.8333,140.7667,14.78,58,95,4.6,AU,1700092262
198,lebyazh'ye,55.2689,66.4947,2.13,94,100,1.95,RU,1700092263
199,cangzhou,38.3167,116.8667,5.44,35,51,7.47,CN,1700092263
200,bissau,11.8636,-15.5977,26.06,94,34,0.0,GW,1700092264
201,iwaki,37.05,140.8833,12.29,85,0,3.0,JP,1700092264
202,touros,-5.1989,-35.4608,26.52,73,6,6.34,BR,1700092265
203,naze,28.3667,129.4833,18.51,52,57,2.14,JP,1700092265
204,debre werk',10.6667,38.1667,14.28,75,79,0.23,ET,1700092266
205,atafu village,-8.5421,-172.5159,29.46,74,56,5.06,TK,1700092266
206,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,77,37,1.1,BR,1700092267
207,anadyr,64.75,177.4833,-19.72,84,0,5.0,RU,1700092267
208,qui nhon,13.7667,109.2333,26.2,88,76,6.37,VN,1700092268
209,plouzane,48.3833,-4.6167,10.1,96,75,6.17,FR,1700092268
210,pechora,65.1472,57.2244,-15.08,99,98,1.34,RU,1700092269
211,khandyga,62.6667,135.6,-17.36,98,100,1.78,RU,1700092271
212,utrik,11.2278,169.8474,28.06,81,19,8.77,MH,1700092271
213,al qusayr,34.5091,36.5798,15.78,78,0,0.84,SY,1700092272
214,itoman,26.1247,127.6694,22.01,68,20,4.12,JP,1700092272
215,invercargill,-46.4,168.35,17.79,49,98,5.36,NZ,1700092273
216,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,57,0,6.0,RU,1700092273
217,mount isa,-20.7333,139.5,34.87,31,7,7.72,AU,1700092274
218,aberdeen,57.1437,-2.0981,-0.73,100,4,1.03,GB,1700092062
219,tabou,4.423,-7.3528,25.87,88,31,2.57,CI,1700092275
220,qaqortoq,60.7167,-46.0333,-1.23,95,100,2.6,GL,1700092276
221,palikir - national government center,6.9248,158.1611,29.41,70,100,2.57,FM,1700092276
222,tura,25.5198,90.2201,18.19,82,82,1.91,IN,1700092277
223,newman,37.3138,-121.0208,17.19,81,84,1.34,US,1700092277
224,chaihe,44.7667,129.7,-5.18,91,100,0.43,CN,1700092278
225,santiago de cao,-7.9589,-79.2392,20.07,83,40,5.14,PE,1700092278
226,makokou,0.5738,12.8642,20.58,99,91,0.27,GA,1700092279
227,sinabang,2.4803,96.3801,25.15,89,100,0.12,ID,1700092280
228,katsuren-haebaru,26.3369,127.8719,22.01,88,0,1.54,JP,1700092280
229,ust-tsilma,65.441,52.1498,-9.1,96,100,1.34,RU,1700092281
230,ust-nera,64.5667,143.2,-21.26,98,100,3.37,RU,1700092281
231,severo-yeniseyskiy,60.3725,93.0408,-2.46,94,100,4.47,RU,1700092282
232,carnarvon,-24.8667,113.6333,22.0,77,46,4.23,AU,1700092282
233,moose jaw,50.4001,-105.5344,4.14,48,100,3.09,CA,1700092283
234,gilgit,35.9221,74.3087,6.44,38,74,1.81,PK,1700092284
235,wynyard,-41.0,145.7167,14.09,45,84,5.88,AU,1700092284
236,balaipungut,1.05,101.2833,24.15,95,99,0.61,ID,1700092285
237,esmeraldas,-19.7625,-44.3139,31.48,48,32,3.46,BR,1700092286
238,dalnerechensk,45.9339,133.7225,-2.88,86,100,1.86,RU,1700092286
239,pacific grove,36.6177,-121.9166,22.82,32,75,0.0,US,1700092287
240,plettenberg bay,-34.0527,23.3716,19.05,70,98,4.84,ZA,1700092288
241,kristiansund,63.1115,7.732,-1.64,69,1,2.06,NO,1700092288
242,laojunmiao,39.8333,97.7333,-2.31,17,0,2.9,CN,1700092289
243,tyul'gan,52.3405,56.166,2.35,96,100,4.31,RU,1700092289
244,ust'-talovka,50.5493,81.85,1.05,56,4,3.01,KZ,1700092290
245,ilulissat,69.2167,-51.1,-8.99,79,75,3.6,GL,1700092291
246,jiuquan,39.7432,98.5174,-2.9,27,0,1.53,CN,1700092291
247,andreyevo,55.9465,41.1505,-1.31,91,96,1.56,RU,1700092292
248,oulmes,33.4258,-6.0014,15.04,36,1,1.51,MA,1700092292
249,yerofey pavlovich,53.9667,121.9667,-7.61,91,100,3.5,RU,1700092293
250,hamilton,39.1834,-84.5333,15.43,49,0,1.34,US,1700092294
251,lata,40.1629,-8.3327,17.18,98,99,0.24,PT,1700092294
252,mossel bay,-34.1831,22.146,19.96,70,99,2.55,ZA,1700092295
253,london,51.5085,-0.1257,7.27,88,100,3.6,GB,1700092195
